raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
601.12225,0.3685551,-0.046823386,1
602.0981,0.3521857,-0.054702275,1
603.0739,0.333231,-0.061957374,1
604.04974,0.3121766,-0.05637896,1
605.02563,0.2968234,-0.059079267,1
606.00146,0.2740253,-0.06553214,1
606.9773,0.2545059,-0.057164546,1
607.9532,0.23711015,-0.053505335,1
608.929,0.21995361,-0.045727868,1
609.90485,0.2075813,-0.043437794,1
610.8807,0.19190356,-0.0436754,1
611.85657,0.17937715,-0.036295082,1
612.8324,0.1684651,-0.033066776,1
613.8082,0.1580242,-0.03445039,1
614.7841,0.14621793,-0.045002542,1
615.75995,0.12896314,-0.04687832,1
616.7358,0.11594615,-0.03878516,1
617.7116,0.103917554,-0.036957864,1
618.6875,0.09207981,-0.03293115,1
619.6633,0.08265137,-0.024750676,1
620.63916,0.07609701,-0.028956126,1
621.61505,0.06395197,-0.029694078,1
622.5909,0.056921072,-0.015167534,1
623.5667,0.054157503,-0.008944911,1
624.54254,0.05114488,-0.012919276,1
625.51843,0.04581445,-0.01573936,1
626.49426,0.0409808,-0.010280557,1
627.4701,0.03917576,-0.0060560405,1
628.446,0.037069965,-0.0068377843,1
629.4218,0.03476012,-0.008376553,1
630.39764,0.03166079,-0.010428362,1
631.37354,0.028025744,0.00072539836,1
632.34937,0.032128748,0.0015183534,1
633.3252,0.029006224,-0.010056227,1
634.301,0.02563492,-0.0074408907,1
635.2769,0.024201227,-0.0043297876,1
636.25275,0.022838855,-0.0030098315,1
637.2286,0.022257622,-0.003224115,1
638.20447,0.020756755,-0.00362322,1
639.1803,0.019917803,-0.001524937,1
640.1561,0.019772025,0.00037913164,1
641.13196,0.020162629,0.00016553496,1
642.10785,0.019878883,-0.0058679567,1
643.0837,0.016373465,-0.0019951311,1
644.0595,0.018590523,0.0043271333,1
645.0354,0.019167708,0.0010446605,1
646.0112,0.019265164,0.0013586899,1
646.98706,0.020045085,0.00054114533,1
647.9629,0.019614609,-0.0037693868,1
648.9388,0.017610822,-0.004684766,1
649.9146,0.016589254,-0.0005823025,1
650.89044,0.0172348,0.00062118535,1
651.86633,0.016990345,-0.0015752646,1
652.84216,0.016217569,0.0012492076,1
653.818,0.017797023,0.0041782167,1
654.7938,0.01891566,-0.0026505776,1
655.7697,0.016085107,-0.002554609,1
656.74554,0.017265713,0.00781126,1
657.7214,0.021129243,0.005457604,1
658.69727,0.02078982,-0.007923324,1
659.6731,0.016012859,-0.0027017016,1
660.6489,0.01904519,0.0058352775,1
661.6248,0.019780975,0.002338676,1
662.60065,0.020555437,-0.00026077457,1
663.5765,0.019612579,-0.00884264,1
664.5523,0.014845286,-0.0026284817,1
665.5282,0.01791567,0.005095873,1
666.504,0.018136237,0.002616691,1
667.47986,0.019605402,0.004397322,1
668.45575,0.0209759,0.003809767,1
669.4316,0.02206566,0.0032856367,1
670.4074,0.023097608,-0.0027014483,1
671.38324,0.020321194,-0.0034602717,1
672.35913,0.02086327,0.005308735,1
673.33496,0.023749279,0.009140882,1
674.3108,0.026766013,0.006862385,1
675.2867,0.028180718,0.001465332,1
676.2625,0.0277124,0.00047556468,1
677.23834,0.028487815,0.0075098546,1
678.2142,0.032561902,0.010624186,1
679.19006,0.035348542,0.0062369327,1
680.1659,0.036589634,0.005402317,1
681.1417,0.038837098,0.0079003945,1
682.1176,0.04169153,0.004131512,1
683.09344,0.041505303,-2.6559903e-05,1
684.0693,0.04167438,0.00016723506,1
685.0451,0.041613296,0.0021992477,1
686.021,0.04309469,0.0050310185,1
686.9968,0.04486217,-0.0005011704,1
687.97266,0.04277106,-0.0025335096,1
688.94855,0.04322626,-0.0017160354,1
689.9244,0.041663013,-0.007111203,1
690.9002,0.038634185,-0.009504099,1
691.87604,0.035525724,-0.009754167,1
692.8519,0.032335214,-0.0103020845,1
693.82776,0.02887294,-0.0017114418,1
694.8036,0.031230045,-0.004916678,1
695.7795,0.025697395,-0.013320455,1
696.7553,0.022627907,-0.0063068285,1
697.73114,0.021624748,-0.00395212,1
698.70703,0.020075705,-0.0041564195,1
699.68286,0.01894062,-0.004803658,1
700.6587,0.016973732,-0.008784181,1
701.6345,0.013268218,-0.009156735,1
702.6104,0.011060662,-0.0070983763,1
703.58624,0.008684294,-0.007230158,1
704.5621,0.0063917725,-0.0028845833,1
705.53796,0.006821681,-0.0053807013,1
706.5138,0.0029173358,-0.009135289,1
707.4896,0.00092254905,-0.004517734,1
708.46545,0.0,-0.0014286876,1
709.44135,0.0,0.0,1
710.4172,0.0,0.0,1
711.393,0.0,0.0,1
712.3689,0.0,0.0,1
713.3447,0.0,0.0,1
714.32056,0.0,0.0,1
715.2964,0.0,0.0,1
