raman_shift_cm-1,wavelength_nm,intensity
4339.621821,278.663000,-0.473500
4346.960661,278.720000,1.935000
4354.425172,278.778000,0.159500
4361.757959,278.835000,1.135000
4369.216314,278.893000,-0.365500
4376.543056,278.950000,2.556500
4383.995264,279.008000,1.695000
4391.315968,279.065000,-1.610500
4398.762036,279.123000,-0.937000
4406.076709,279.180000,-0.418000
4413.516644,279.238000,-2.651500
4420.825295,279.295000,1.937500
4428.130962,279.352000,3.840500
4435.561740,279.410000,4.229000
4442.861395,279.467000,-0.826000
4450.158074,279.524000,-1.637500
4457.579711,279.582000,1.556500
4464.870389,279.639000,2.431500
4472.158095,279.696000,-1.078000
4479.570607,279.754000,-0.405500
4486.852324,279.811000,-1.757500
4494.131074,279.868000,0.095000
4501.534479,279.926000,-3.542000
4508.807251,279.983000,0.407500
4516.077062,280.040000,-1.637500
4523.343914,280.097000,-0.437500
4530.735220,280.155000,0.610500
4537.996108,280.212000,0.799500
4545.254043,280.269000,1.860000
4552.509026,280.326000,1.910500
4559.888262,280.384000,0.447000
4567.137295,280.441000,-11.747000
4574.383383,280.498000,-6.763500
4581.626526,280.555000,-6.668000
4588.866727,280.612000,-5.428500
4596.103987,280.669000,-7.720500
4603.338308,280.726000,-4.434500
4610.696532,280.784000,-1.433500
4617.924929,280.841000,-0.943000
4625.150392,280.898000,-0.564000
4632.372923,280.955000,0.432000
4639.592525,281.012000,4.036500
4646.809198,281.069000,0.625000
4654.022945,281.126000,-1.167000
4661.233767,281.183000,-1.101000
4668.441666,281.240000,-1.328500
4675.646644,281.297000,0.982000
4682.848703,281.354000,-3.979500
4690.047844,281.411000,-1.527000
4697.244070,281.468000,-0.420000
4704.437381,281.525000,-1.284000
4711.627780,281.582000,3.370500
4718.815269,281.639000,2.673500
4725.999849,281.696000,-0.174000
4733.181522,281.753000,0.192000
4740.360290,281.810000,-0.834000
4747.536154,281.867000,0.311500
4754.583300,281.923000,1.631500
4761.753414,281.980000,1.046500
4768.920629,282.037000,2.691500
4776.084949,282.094000,-0.490500
4783.246373,282.151000,3.532500
4790.404904,282.208000,0.153500
4797.435032,282.264000,0.285000
4804.587834,282.321000,-3.099500
4811.737748,282.378000,1.617500
4818.884776,282.435000,-0.629000
