raman_shift_cm-1,wavelength_nm,intensity
5814.172835,290.604000,79.280000
5820.684279,290.659000,145.730000
5827.193260,290.714000,91.010000
5833.699778,290.769000,78.580000
5840.203835,290.824000,95.770000
5846.705432,290.879000,162.530000
5853.204572,290.934000,71.620000
5859.701254,290.989000,48.520000
5866.195481,291.044000,106.090000
5872.687254,291.099000,274.060000
5879.176574,291.154000,82.630000
5885.663444,291.209000,58.130000
5892.147863,291.264000,68.750000
5898.629834,291.319000,113.520000
5905.109357,291.374000,69.630000
5911.586435,291.429000,116.210000
5918.061069,291.484000,84.260000
5924.533260,291.539000,2.040000
5931.003009,291.594000,57.030000
5937.470318,291.649000,85.570000
5943.935188,291.704000,233.860000
5950.397621,291.759000,109.500000
5956.857618,291.814000,132.600000
5963.315180,291.869000,281.030000
5969.770309,291.924000,138.890000
5976.105706,291.978000,91.580000
5982.556017,292.033000,69.440000
5989.003898,292.088000,127.240000
5995.449352,292.143000,103.940000
6001.892379,292.198000,92.820000
6008.215901,292.252000,91.860000
6014.654123,292.307000,83.060000
6021.089923,292.362000,93.060000
6027.523303,292.417000,94.320000
6033.954262,292.472000,124.200000
6040.265942,292.526000,117.100000
6046.692111,292.581000,108.410000
6053.115864,292.636000,154.180000
6059.420472,292.690000,109.240000
6065.839442,292.745000,125.360000
6072.256000,292.800000,89.230000
6078.553548,292.854000,92.900000
6084.965331,292.909000,179.830000
6091.374707,292.964000,108.080000
6097.665207,293.018000,82.400000
6104.069816,293.073000,74.670000
6110.472021,293.128000,85.170000
6116.755485,293.182000,67.210000
6123.152931,293.237000,58.160000
6129.431725,293.291000,82.620000
6135.824417,293.346000,94.760000
6142.098547,293.400000,80.250000
6148.486490,293.455000,126.060000
6154.872040,293.510000,119.370000
6161.139160,293.564000,102.610000
6167.519969,293.619000,59.290000
6173.782438,293.673000,80.520000
6180.158512,293.728000,93.540000
6186.416334,293.782000,145.440000
6192.787678,293.837000,55.050000
6199.040859,293.891000,-158.890000
6205.291742,293.945000,28.370000
6211.656022,294.000000,194.100000
6217.902272,294.054000,113.140000
6224.261835,294.109000,588.670000
6230.503456,294.163000,367.870000
6236.742786,294.217000,199.580000
6243.095305,294.272000,88.170000
6249.330014,294.326000,100.590000
6255.677829,294.381000,143.210000
6261.907923,294.435000,103.750000
6268.135731,294.489000,93.070000
6274.476522,294.544000,106.700000
6280.699722,294.598000,95.030000
6286.920642,294.652000,89.720000
6293.139281,294.706000,78.240000
6299.470739,294.761000,62.590000
6305.684781,294.815000,86.070000
6311.896546,294.869000,143.530000
6318.106037,294.923000,93.690000
6324.428182,294.978000,86.850000
6330.633085,295.032000,109.090000
6336.835717,295.086000,90.910000
6343.036080,295.140000,104.970000
6349.234174,295.194000,48.920000
6355.544717,295.249000,125.410000
