dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,pca_svm,0.85,438,180,258,0.410958904109589,0.95,0.4584717607973422,0.3904109589041096,0.05,0.02054794520547945,0.0063459268004722545
sherloc_pooled_random_validation,pca_svm,0.9,438,154,284,0.3515981735159817,0.987012987012987,0.6644591611479028,0.3470319634703196,0.012987012987012988,0.0045662100456621,0.001488095238095238
sherloc_pooled_random_validation,pca_svm,0.95,438,123,315,0.2808219178082192,1.0,1.0,0.2808219178082192,0.0,0.0,0.0
sherloc_pooled_random_validation,pls_da,0.0,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.05,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.1,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.15,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.2,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.25,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.3,438,434,4,0.9908675799086758,0.7695852534562212,0.45400713489409145,0.7625570776255708,0.2304147465437788,0.228310502283105,0.050632981177652026
sherloc_pooled_random_validation,pls_da,0.35,438,427,11,0.9748858447488584,0.775175644028103,0.44047638635873926,0.7557077625570776,0.22482435597189696,0.2191780821917808,0.04799032928931048
sherloc_pooled_random_validation,pls_da,0.4,438,404,34,0.9223744292237442,0.8044554455445545,0.456259155863899,0.7420091324200914,0.19554455445544555,0.18036529680365296,0.03876172155952721
sherloc_pooled_random_validation,pls_da,0.45,438,370,68,0.8447488584474886,0.8351351351351352,0.46940003351768056,0.7054794520547946,0.16486486486486487,0.13926940639269406,0.02940525383707202
sherloc_pooled_random_validation,pls_da,0.5,438,339,99,0.773972602739726,0.8731563421828908,0.4882587505538325,0.6757990867579908,0.12684365781710916,0.09817351598173515,0.021083328244378398
sherloc_pooled_random_validation,pls_da,0.55,438,300,138,0.684931506849315,0.9233333333333333,0.5216601307189542,0.632420091324201,0.07666666666666666,0.05251141552511415,0.011957347772394794
sherloc_pooled_random_validation,pls_da,0.6,438,256,182,0.5844748858447488,0.94921875,0.525630532202511,0.5547945205479452,0.05078125,0.02968036529680365,0.006919494429290668
sherloc_pooled_random_validation,pls_da,0.65,438,227,211,0.5182648401826484,0.9647577092511013,0.6760317460317461,0.5,0.03524229074889868,0.0182648401826484,0.00456733705166307
sherloc_pooled_random_validation,pls_da,0.7,438,192,246,0.4383561643835616,0.9739583333333334,0.6748967444120506,0.4269406392694064,0.026041666666666668,0.01141552511415525,0.0023351941945202134
sherloc_pooled_random_validation,pls_da,0.75,438,156,282,0.3561643835616438,0.9807692307692307,0.6625733855185909,0.3493150684931507,0.019230769230769232,0.00684931506849315,0.0011976007273812918
sherloc_pooled_random_validation,pls_da,0.8,438,140,298,0.319634703196347,0.9928571428571429,0.7,0.317351598173516,0.007142857142857143,0.00228310502283105,0.00041050903119868636
sherloc_pooled_random_validation,pls_da,0.85,438,118,320,0.2694063926940639,0.9915254237288136,0.7,0.2671232876712329,0.00847457627118644,0.00228310502283105,0.00041050903119868636
