wavenumber_cm-1,intensity
305.599,5.876182120418018e-05
306.959,0.0
308.319,0.0006687958269531271
309.679,0.0
311.038,0.0003197905263442514
312.398,0.0
313.757,0.0
315.116,0.0
316.474,0.0
317.833,0.0
319.191,0.001627611523733401
320.549,0.00026896198681798395
321.907,0.0008525820151724029
323.264,0.000686019741416909
324.622,0.0004025082977799944
325.979,9.648706696461454e-05
327.336,0.0010280650136035834
328.692,0.0014922616582895608
330.049,0.0
331.405,0.0012135493780216914
332.761,0.0
334.117,0.0
335.473,0.0012615220763571825
336.828,0.003101189135593117
338.183,0.0021304486568894396
339.538,0.001265244127899097
340.893,0.0015343378504613574
342.247,0.0
343.602,0.0015418350794460624
344.956,0.0008896933421694049
346.31,0.001901537119171112
347.663,0.0003270541310923694
349.017,0.0010986174355793557
350.37,0.0
351.723,0.0
353.076,0.0021723043226013227
354.428,0.0
355.78,0.0006145974923169186
357.133,0.00030727686083116513
358.484,0.0
359.836,0.0007344863786821572
361.188,0.0002996878788794241
362.539,0.0027444775821645977
363.89,0.0020985136058714366
365.241,0.0015214098174953122
366.591,0.0015677215574332929
367.942,0.0004849658576746749
369.292,0.0005603945295195705
370.642,0.0006594646853054305
371.992,0.0023074115023433376
373.341,0.0010112833514415913
374.691,0.0008941318336209383
376.04,0.0019813653320644334
377.388,0.0011854695039219536
378.737,0.001592411644463663
380.086,0.0013312374964735728
381.434,0.0005355658608498392
382.782,0.0
384.13,0.0002566729022228654
385.477,0.0
386.825,0.0
388.172,0.0008433534955230877
389.519,0.0008155473302382571
390.865,0.0012084089726551986
392.212,0.0002908619486956324
393.558,0.00142922062545762
394.904,0.0002620648287821552
396.25,0.0
397.596,0.001041267890401866
398.941,0.00014113175400412727
400.286,0.0
401.631,0.0
402.976,0.0007000850500376761
404.321,0.001542567132409753
405.665,0.0002961035779105987
407.009,0.001527193933676916
408.353,0.001530089439975324
409.697,0.0
411.04,0.0015060572355275889
412.384,0.0
413.727,0.0010094177983327208
415.07,0.0
416.412,0.0006809662312690203
417.755,0.0004784950817247283
419.097,0.0012325161555470662
420.439,0.0012246203531949896
421.781,0.001129872330651462
423.122,0.0006539088568711297
424.464,0.0
425.805,0.0
427.146,0.0015614650826219457
428.486,0.0
429.827,0.0014353416642145704
431.167,0.002241710641509063
432.507,0.00016441874086111751
433.847,0.0027755610663565927
435.187,0.0002803051703218118
436.526,0.00011533573962904707
437.865,0.0013263710187443585
439.204,0.0
440.543,0.0010231219413629606
441.882,0.0
443.22,0.0004750531733351662
444.558,0.0
445.896,0.0008317802536955333
447.234,0.0009391382861651333
448.572,0.0009494809309292506
449.909,7.621899030266689e-05
451.246,8.673580563387976e-05
452.583,0.0
453.919,0.0
455.256,0.0016202313054375563
456.592,0.0023196136016942924
457.928,0.001153295888186221
459.264,0.0013371331003332566
460.6,0.0006178247650992802
461.935,0.0
463.27,0.0016828352136131937
464.605,0.0
465.94,0.0
467.274,0.002126275639485998
468.609,0.0005671383538455911
469.943,0.0
471.277,0.0014032207650231125
472.61,0.0
473.944,0.0023312670280160597
475.277,0.0010390534121093825
476.61,0.0
477.943,0.001300265376508624
479.275,0.0015280123257965944
480.608,1.9897147941518224e-05
481.94,0.0017678980068162365
483.272,0.0011334732979462493
484.604,0.0
485.935,0.000761170242006494
487.267,0.001222479859154952
488.598,0.0021017568448951605
489.929,0.0
491.26,0.000715355692899147
492.59,0.0018128248501398261
493.92,0.0
495.25,0.0020693765603847026
496.58,0.0
497.91,0.0008517831563751955
499.239,0.0021443953595263665
500.569,0.0
501.898,0.005165975876724795
503.226,0.0
504.555,0.00046596426009633555
505.883,0.0008068534076500595
507.212,0.0
508.54,0.0004344153976226282
509.867,0.00042197844654766624
511.195,0.0017802435090038427
512.522,0.0031909948983632396
513.849,0.0
515.176,0.002298454609377098
516.503,7.25404282372145e-05
517.829,0.0
519.156,0.0006813804395004528
520.482,0.0
521.808,0.0
523.133,0.0
524.459,0.0007620023531312688
525.784,0.0008095753244327595
527.109,0.0016050254385551383
528.434,0.0016885643479938807
529.758,0.0003972055036229644
531.083,0.0011678154767997377
532.407,0.0
533.731,0.0
535.055,0.0013894531926192044
536.378,0.0
537.701,0.0018171050774254103
539.025,0.000558084189610388
540.348,0.0
541.67,0.0022778386714120582
542.993,0.0
544.315,0.0
545.637,0.0
546.959,0.0
548.281,4.8203330353854295e-06
549.602,0.00016531214309127747
550.923,0.0005886233589148072
552.244,0.0011255715406205801
553.565,0.0006733555121395514
554.886,0.0012095938640143424
556.206,0.0004145329282568917
557.526,0.00023603813994428743
558.846,0.0
560.166,0.0
561.486,0.0022979841393504755
562.805,0.0003080697344275016
564.124,0.0019276251323613815
565.443,0.0012157916858614838
566.762,0.002782986786330856
568.08,0.0009915528842272215
569.399,0.00155659854720435
570.717,0.0017286452591525475
572.035,0.0019740445182634546
573.352,0.0010407882811408564
574.67,0.0010770592511778413
575.987,0.0005986924651336417
577.304,0.0004760619018235373
