Wave,Anorthite
609.979,1978.53
610.461,1979.31
610.946,1979.66
611.43,1979.85
611.914,1980.29
612.352,1980.23
612.842,1980.12
613.333,1978.79
613.821,1964.82
614.311,1962.94
614.801,1966.02
615.289,1972.44
615.779,1979.71
616.269,1988.88
616.757,1999.34
617.247,2005.04
617.735,1999.23
618.225,1989.07
618.715,1980.4
619.203,1970.53
619.693,1964.45
620.181,1964.6
620.671,1972.57
621.159,1981.04
621.648,1988.85
622.138,1995.69
622.626,2000.24
623.116,1999.32
623.603,2000.23
624.093,2000.95
624.581,2002.45
625.07,2002.62
625.558,1998.8
626.047,1993.7
626.535,1988.3
627.024,1982.88
627.512,1978.19
628.001,1974
628.489,1981.29
628.978,1981.96
629.465,1991.22
629.955,1985.8
630.442,1972.97
630.931,1965.21
631.419,1960.82
631.908,1970.85
632.395,1988.65
632.882,1998.27
633.371,2002.19
633.859,2001.28
634.348,1996.49
634.835,1988.93
635.324,1978.48
635.811,1972.59
636.298,1970.96
636.787,1966.71
637.274,1969.85
637.763,1973.07
638.249,1975.97
638.736,1978.67
639.225,1981.14
639.712,1983.23
640.199,1979.78
640.688,1979.4
641.174,1979.63
641.661,1980.11
642.15,1980.22
642.636,1980.22
643.123,1979.97
643.612,1979.31
644.098,1978.37
644.585,1976.44
645.073,1974.69
645.56,1976
646.046,1983.34
646.535,1988.69
647.021,1990.54
647.507,1990.79
647.994,1989.6
648.482,1986.41
648.968,1981.34
649.455,1975.83
649.941,1970.98
650.429,1967.1
650.915,1963.33
651.402,1960.21
651.888,1957.71
652.376,1955.84
652.862,1954.62
653.348,1954.45
653.834,1957.1
654.32,1961.74
654.808,1968.47
655.294,1977.49
655.78,1981.5
656.266,1977.59
656.752,1976.01
657.238,1966
657.726,1958.53
658.211,1956.45
658.697,1957.15
659.183,1957.38
659.669,1958.63
660.154,1958.43
660.64,1958.79
661.128,1958.65
661.613,1958.35
662.099,1958.43
662.585,1958.73
663.07,1960.03
663.556,1962.38
664.041,1965.8
664.527,1969.92
665.012,1973.62
665.497,1976.25
665.983,1977.57
666.47,1978.1
666.956,1978.63
667.441,1979.23
667.926,1980.2
668.411,1980.45
668.897,1981.11
669.382,1981.99
669.867,1983.97
670.352,1987.74
670.837,1994.44
671.323,2005.76
671.808,2009.77
672.293,2011.26
672.778,2010.61
673.263,2007.85
673.748,2006.38
674.233,2018.69
674.718,2021.61
675.203,2023.56
675.687,2029.28
676.172,2028.27
676.657,2017.53
677.142,2019.64
677.625,2029.63
678.109,2034.86
678.594,2039.61
679.079,2043.56
679.563,2045.74
680.048,2046.75
680.533,2047.8
681.017,2047.85
681.502,2046.81
681.986,2044.54
682.471,2040.81
682.953,2034.13
683.438,2023.68
683.922,2010.18
684.407,2005.8
684.891,2007.15
685.376,2011.66
685.86,2015.35
686.342,2014.21
686.826,2012.77
687.311,2011.11
687.795,2009.36
688.279,2005.91
688.763,2002.32
689.245,1997.98
689.73,1994.41
690.214,1992.01
690.698,1990.97
691.18,1991.66
